step,value
1000,8.365947723388672
2000,8.103538513183594
3000,8.108441352844238
4000,8.0818510055542
5000,8.068938255310059
6000,8.10472297668457
7000,8.086824417114258
8000,8.08749008178711
9000,8.096579551696777
10000,8.078676223754883
11000,8.069555282592773
12000,8.077994346618652
13000,8.0779447555542
14000,8.1044921875
15000,8.052143096923828
16000,8.076337814331055
17000,8.102214813232422
18000,8.111127853393555
19000,8.094744682312012
20000,8.073479652404785
21000,8.044259071350098
22000,8.069457054138184
23000,8.044634819030762
24000,8.057836532592773
25000,8.052474021911621
26000,8.062105178833008
27000,8.04791259765625
28000,8.0657320022583
29000,8.094457626342773
30000,8.064841270446777
31000,8.071447372436523
32000,8.086081504821777
33000,8.097452163696289
34000,8.105876922607422
35000,8.073190689086914
36000,8.100261688232422
37000,8.087696075439453
38000,8.088133811950684
39000,8.073692321777344
40000,8.086785316467285
41000,8.053812980651855
