step,value
1000,7.999999797903001e-05
2000,7.840000034775585e-05
3000,7.840000034775585e-05
4000,7.683200237806886e-05
5000,7.683200237806886e-05
6000,7.52953565097414e-05
7000,7.52953565097414e-05
8000,7.378945156233385e-05
9000,7.378945156233385e-05
10000,7.231366180349141e-05
11000,7.231366180349141e-05
12000,7.086739060468972e-05
13000,7.086739060468972e-05
14000,6.94500413374044e-05
15000,6.94500413374044e-05
16000,6.806103920098394e-05
17000,6.806103920098394e-05
18000,6.669982394669205e-05
19000,6.669982394669205e-05
20000,6.536582804983482e-05
21000,6.536582804983482e-05
22000,6.405850581359118e-05
23000,6.405850581359118e-05
24000,6.277734064497054e-05
25000,6.277734064497054e-05
26000,6.152179412310943e-05
27000,6.152179412310943e-05
28000,6.029135693097487e-05
29000,6.029135693097487e-05
30000,5.908552702749148e-05
31000,5.908552702749148e-05
32000,5.790381692349911e-05
33000,5.790381692349911e-05
34000,5.674574276781641e-05
35000,5.674574276781641e-05
36000,5.561082798521966e-05
37000,5.561082798521966e-05
38000,5.449861055240035e-05
39000,5.449861055240035e-05
40000,5.340863935998641e-05
41000,5.340863935998641e-05
