step,value
1000,1.9999999494757503e-05
2000,1.8999999156221747e-05
3000,1.8999999156221747e-05
4000,1.804999919841066e-05
5000,1.804999919841066e-05
6000,1.714750032988377e-05
7000,1.714750032988377e-05
8000,1.629012513149064e-05
9000,1.629012513149064e-05
10000,1.5475618056370877e-05
11000,1.5475618056370877e-05
12000,1.4701838153996505e-05
13000,1.4701838153996505e-05
14000,1.396674633724615e-05
15000,1.396674633724615e-05
16000,1.3268409020383842e-05
17000,1.3268409020383842e-05
18000,1.26049881146173e-05
19000,1.26049881146173e-05
20000,1.197473920910852e-05
21000,1.197473920910852e-05
22000,1.1376001566532068e-05
23000,1.1376001566532068e-05
24000,1.0807201761053875e-05
25000,1.0807201761053875e-05
26000,1.0266841854900122e-05
27000,1.0266841854900122e-05
28000,9.753499398357235e-06
29000,9.753499398357235e-06
30000,9.265824701287784e-06
31000,9.265824701287784e-06
32000,8.802533557172865e-06
33000,8.802533557172865e-06
34000,8.3624063336174e-06
35000,8.3624063336174e-06
36000,7.944286153360736e-06
37000,7.944286153360736e-06
38000,7.547072073066374e-06
39000,7.547072073066374e-06
40000,7.169718628574628e-06
41000,7.169718628574628e-06
