step,value
5209,0.040278319269418716
10419,1.0
15629,1.0
20839,1.0
26049,1.0
31259,1.0
36469,1.0
41679,1.0
46889,1.0
52099,1.0
57309,1.0
62519,1.0
67729,1.0
72939,1.0
78149,1.0
83359,1.0
88569,1.0
93779,1.0
98989,1.0
104199,1.0
109409,1.0
114619,1.0
119829,1.0
125039,1.0
130249,1.0
135459,1.0
140669,1.0
145879,1.0
151089,1.0
156299,1.0
161509,1.0
166719,1.0
171929,1.0
177139,1.0
182349,1.0
187559,1.0
192769,1.0
197979,1.0
203189,1.0
208399,1.0
213609,1.0
218819,1.0
224029,1.0
229239,1.0
234449,1.0
239659,1.0
244869,1.0
250079,1.0
255289,1.0
260499,1.0
265709,1.0
270919,1.0
276129,1.0
281339,1.0
286549,1.0
291759,1.0
296969,1.0
302179,1.0
307389,1.0
312599,1.0
317809,1.0
323019,1.0
328229,1.0
333439,1.0
338649,1.0
343859,1.0
349069,1.0
354279,1.0
359489,1.0
364699,1.0
369909,1.0
375119,1.0
380329,1.0
385539,1.0
390749,1.0
395959,1.0
401169,1.0
406379,1.0
411589,1.0
416799,1.0
422009,1.0
427219,1.0
432429,1.0
437639,1.0
442849,1.0
448059,1.0
453269,1.0
458479,1.0
463689,1.0
468899,1.0
474109,1.0
479319,1.0
484529,1.0
489739,1.0
494949,1.0
500159,1.0
505369,1.0
510579,1.0
515789,1.0
520999,1.0
526209,1.0
531419,1.0
536629,1.0
541839,1.0
547049,1.0
552259,1.0
557469,1.0
562679,1.0
567889,1.0
573099,1.0
578309,1.0
583519,1.0
588729,1.0
593939,1.0
599149,1.0
604359,1.0
609569,1.0
614779,1.0
619989,1.0
625199,1.0
630409,1.0
635619,1.0
640829,1.0
646039,1.0
651249,1.0
656459,1.0
661669,1.0
666879,1.0
672089,1.0
677299,1.0
682509,1.0
687719,1.0
692929,1.0
698139,1.0
703349,1.0
708559,1.0
713769,1.0
718979,1.0
724189,1.0
729399,1.0
734609,1.0
739819,1.0
745029,1.0
750239,1.0
755449,1.0
760659,1.0
765869,1.0
771079,1.0
776289,1.0
781499,1.0
786709,1.0
791919,1.0
797129,1.0
802339,1.0
807549,1.0
812759,1.0
817969,1.0
823179,1.0
828389,1.0
833599,1.0
838809,1.0
844019,1.0
849229,1.0
854439,1.0
859649,1.0
864859,1.0
870069,1.0
875279,1.0
880489,1.0
885699,1.0
890909,1.0
896119,1.0
901329,1.0
906539,1.0
911749,1.0
916959,1.0
922169,1.0
927379,1.0
932589,1.0
937799,1.0
943009,1.0
948219,1.0
953429,1.0
958639,1.0
963849,1.0
969059,1.0
974269,1.0
979479,1.0
984689,1.0
989899,1.0
995109,1.0
1000319,1.0
1005529,1.0
1010739,1.0
1015949,1.0
1021159,1.0
1026369,1.0
1031579,1.0
1036789,1.0
1041999,1.0
1047209,1.0
1052419,1.0
1057629,1.0
1062839,1.0
1068049,1.0
1073259,1.0
1078469,1.0
1083679,1.0
1088889,1.0
1094099,1.0
1099309,1.0
1104519,1.0
1109729,1.0
1114939,1.0
1120149,1.0
1125359,1.0
1130569,1.0
1135779,1.0
1140989,1.0
1146199,1.0
1151409,1.0
1156619,1.0
1161829,1.0
1167039,1.0
1172249,1.0
1177459,1.0
1182669,1.0
1187879,1.0
1193089,1.0
1198299,1.0
1203509,1.0
1208719,1.0
1213929,1.0
1219139,1.0
1224349,1.0
1229559,1.0
1234769,1.0
1239979,1.0
1245189,1.0
1250399,1.0
1255609,1.0
1260819,1.0
1266029,1.0
1271239,1.0
1276449,1.0
1281659,1.0
1286869,1.0
1292079,1.0
1297289,1.0
1302499,1.0
1307709,1.0
1312919,1.0
1318129,1.0
1323339,1.0
1328549,1.0
1333759,1.0
1338969,1.0
1344179,1.0
1349389,1.0
1354599,1.0
1359809,1.0
1365019,1.0
1370229,1.0
1375439,1.0
1380649,1.0
