step,value
5209,-0.2626744508743286
10419,0.00915780570358038
15629,0.014811948873102665
20839,-0.005411612335592508
26049,-0.029676087200641632
31259,-0.053614336997270584
36469,-0.18795423209667206
41679,-0.42000752687454224
46889,-0.6026320457458496
52099,-0.7548159956932068
57309,-0.8972645998001099
62519,-1.0115753412246704
67729,-1.124124526977539
72939,-1.2206764221191406
78149,-1.3263697624206543
83359,-1.388379454612732
88569,-1.483701467514038
93779,-1.568692684173584
98989,-1.641957402229309
104199,-1.717593789100647
109409,-1.775752067565918
114619,-1.8415424823760986
119829,-1.8870868682861328
125039,-1.9517959356307983
130249,-1.9833201169967651
135459,-2.022597074508667
140669,-2.0976006984710693
145879,-2.1513688564300537
151089,-2.200523614883423
156299,-2.251528739929199
161509,-2.2700042724609375
166719,-2.317486524581909
171929,-2.3793649673461914
177139,-2.4326064586639404
182349,-2.459437131881714
187559,-2.4700279235839844
192769,-2.5247888565063477
197979,-2.5797085762023926
203189,-2.6067721843719482
208399,-2.6348490715026855
213609,-2.6860244274139404
218819,-2.719957113265991
224029,-2.756800651550293
229239,-2.806318521499634
234449,-2.8545467853546143
239659,-2.917081594467163
244869,-2.928892135620117
250079,-2.9756064414978027
255289,-2.988086223602295
260499,-3.0218355655670166
265709,-3.042534112930298
270919,-3.1232221126556396
276129,-3.1804451942443848
281339,-3.185070753097534
286549,-3.188361406326294
291759,-3.238987684249878
296969,-3.2722723484039307
302179,-3.298468828201294
307389,-3.3665611743927
312599,-3.3949060440063477
317809,-3.3876192569732666
323019,-3.449784755706787
328229,-3.460421562194824
333439,-3.4741573333740234
338649,-3.5166537761688232
343859,-3.539172649383545
349069,-3.56501841545105
354279,-3.6437337398529053
359489,-3.7034339904785156
364699,-3.722485303878784
369909,-3.751375436782837
375119,-3.7791409492492676
380329,-3.795487880706787
385539,-3.813769817352295
390749,-3.8825056552886963
395959,-3.853245496749878
401169,-3.925403118133545
406379,-3.9702095985412598
411589,-3.926574468612671
416799,-4.077846527099609
422009,-4.069736003875732
427219,-4.032882213592529
432429,-4.116759300231934
437639,-4.106260776519775
442849,-4.174993991851807
448059,-4.168759822845459
453269,-4.14810037612915
458479,-4.2382354736328125
463689,-4.19811487197876
468899,-4.273897647857666
474109,-4.227194786071777
479319,-4.19950008392334
484529,-4.246199131011963
489739,-4.232161521911621
494949,-4.299373149871826
500159,-4.312711715698242
505369,-4.366074085235596
510579,-4.324824810028076
515789,-4.3380045890808105
520999,-4.364624500274658
526209,-4.374734878540039
531419,-4.461330890655518
536629,-4.3824005126953125
541839,-4.373762130737305
547049,-4.4613542556762695
552259,-4.414193153381348
557469,-4.398773670196533
562679,-4.503590106964111
567889,-4.561797618865967
573099,-4.52536153793335
578309,-4.647676944732666
583519,-4.527174949645996
588729,-4.577126979827881
593939,-4.67550802230835
599149,-4.716109752655029
604359,-4.6016950607299805
609569,-4.640109062194824
614779,-4.60296630859375
619989,-4.610893249511719
625199,-4.673927307128906
630409,-4.768011093139648
635619,-4.661266326904297
640829,-4.638157844543457
646039,-4.553983211517334
651249,-4.659326076507568
656459,-4.670563697814941
661669,-4.604595184326172
666879,-4.6659440994262695
672089,-4.679004192352295
677299,-4.741804599761963
682509,-4.671111106872559
687719,-4.818432331085205
692929,-4.91351842880249
698139,-4.851008892059326
703349,-4.824532985687256
708559,-4.839874267578125
713769,-4.845299243927002
718979,-4.914177417755127
724189,-4.8639726638793945
729399,-4.859426498413086
734609,-4.933424472808838
739819,-4.846925735473633
745029,-4.961511611938477
750239,-4.952747344970703
755449,-4.925207138061523
760659,-4.970011234283447
765869,-5.003730773925781
771079,-4.9203691482543945
776289,-4.955569267272949
781499,-4.92560338973999
786709,-5.010447978973389
791919,-4.978479862213135
797129,-4.983002662658691
802339,-5.0107340812683105
807549,-5.055844783782959
812759,-5.081759452819824
817969,-5.243188858032227
823179,-5.113582134246826
828389,-5.115433216094971
833599,-5.166237831115723
838809,-5.193171977996826
844019,-5.1648335456848145
849229,-5.243718147277832
854439,-5.422773838043213
859649,-5.353334903717041
864859,-5.355761528015137
870069,-5.359055042266846
875279,-5.405961990356445
880489,-5.448169708251953
885699,-5.42313814163208
890909,-5.427257537841797
896119,-5.445407867431641
901329,-5.521600723266602
906539,-5.472916126251221
911749,-5.54913330078125
916959,-5.543919563293457
922169,-5.6215667724609375
927379,-5.65216064453125
932589,-5.562418460845947
937799,-5.600671768188477
943009,-5.673866271972656
948219,-5.723245143890381
953429,-5.747801780700684
958639,-5.70012092590332
963849,-5.770397663116455
